cycle,car_avg_speed,traffic_density_per_km,car_traffic_flow,num_cars_exiting
0,0.0,0.0,0.0,0
0,0.0,0.0,0.0,0
1,0.917999999996328,0.0,0.0,0
2,1.8355856050220596,1.3318534961154271,2.4447311054677816,0
3,2.7513641387715193,1.3318534961154271,3.664413947309459,0
4,3.6594544044453605,1.3318534961154271,4.8738571424355515,0
5,5.171864391977237,1.3318534961154271,6.88816567188977,0
6,6.670714290279158,2.6637069922308543,17.768828298190876,0
7,8.124857674752759,2.6637069922308543,21.642240199119446,0
8,9.500975890241966,2.6637069922308543,25.30781591185429,0
9,10.766134572968001,2.6637069922308543,28.677827941313208,0
10,12.516510673211174,2.6637069922308543,33.340316998564724,0
11,14.061576527292281,3.9955604883462823,56.183879576306566,0
12,15.455424339983141,3.9955604883462823,61.75308282346206,0
13,16.706465518005633,3.9955604883462823,66.75169352366291,0
14,17.82253736208565,3.9955604883462823,71.2110260860248,0
15,18.97469026276582,3.9955604883462823,75.81452269251604,0
16,20.22010880573682,4.661487236403996,94.25577911664224,0
17,21.318385766668527,4.8834628190899005,104.1075442545411,0
18,22.301362507759166,4.8834628190899005,108.90787462168738,0
19,23.175724161105357,4.8834628190899005,113.1777872462415,0
20,23.946339490378598,4.8834628190899005,116.94105855456809,0
21,24.829036339548146,4.8834628190899005,121.25167579801537,0
22,25.567126632867634,5.32741398446171,136.20666796644247,0
23,26.210468293238865,5.32741398446171,139.63401532469098,0
24,26.76443810153138,5.32741398446171,142.5852418283581,0
25,27.23342570567147,5.32741398446171,145.0837329491932,0
26,27.640813361559818,5.32741398446171,147.25405564426987,0
27,28.178792542700663,5.771365149833518,162.63010124533125,0
28,28.58486707218027,5.771365149833518,164.9737056330049,0
29,29.191456008405865,5.771365149833518,168.47455187981188,0
30,29.16456352119933,5.771365149833518,168.31934551635572,0
31,29.389108833962403,5.771365149833518,169.615278508995,0
32,29.568003903274736,5.771365149833518,170.64774727750125,0
33,29.810980783534003,5.993340732519423,178.6673654063081,0
34,30.07706111144592,6.215316315205328,186.93844863939754,0
35,30.49913289638832,6.215316315205328,189.56175829053788,0
36,30.897739401072347,6.215316315205328,192.03922380244745,0
37,31.275520728774755,6.215316315205328,194.38725425209617,0
38,30.83171583550565,6.215316315205327,191.62886645819273,0
39,31.25306749014052,7.103218645948945,221.99737173906695,0
40,31.489919910044406,7.547169811320753,237.65977290599548,0
41,31.720149399189495,7.547169811320753,239.39735395614707,0
42,31.85645267308605,7.547169811320753,240.42605791008333,0
43,31.979640497957348,7.547169811320753,241.35577734307427,0
44,31.86430780448198,7.547169811320753,240.48534192061868,0
45,32.142713067937756,7.325194228634849,235.45161625792358,0
46,32.293811435966646,7.991120976692562,258.0637539833072,0
47,32.420769210664915,7.991120976692562,259.07828891985275,0
48,32.50039165816102,7.991120976692562,259.7145615302545,0
49,32.56267530355911,7.991120976692562,260.21227767550005,0
50,32.82646656087057,7.991120976692562,262.32026552526975,0
51,32.61541847920005,8.213096559378465,267.87358129420676,0
52,32.330011190050726,7.991120976692562,258.3530305975196,0
53,32.14120054664432,8.657047724750276,278.24790706306953,0
54,32.18830563796965,8.657047724750276,278.6556980867516,0
55,32.08428460432349,8.657047724750276,277.755183034099,0
56,32.19263192254927,8.657047724750276,278.69315093882824,0
57,32.25255499903039,8.657047724750276,279.2119078717392,0
58,32.563471010396384,8.657047724750276,281.9035226205236,0
59,32.81369638672727,8.43507214206437,276.78589626984154,0
60,32.98362005876786,8.43507214206437,278.21921470214835,0
61,33.205816243713734,8.657047724750274,287.4643359611177,0
62,33.34567191998486,8.87902330743618,296.07699817966574,0
63,33.93454469734807,8.657047724750276,293.77297296261366,0
64,34.34671707513276,8.87902330743618,304.96530144402,0
65,34.47360313636888,8.87902330743618,306.0919257391243,0
66,34.946327459127566,8.87902330743618,310.2892560188906,0
67,35.38416068267382,9.322974472807989,329.88562678630416,0
68,35.83692773621921,9.100998890122085,326.1518395527164,0
69,36.22579672130097,9.544950055493894,345.7734204252923,0
70,36.598060597319446,9.544950055493894,349.32666052935315,0
71,37.1945598855234,9.7669256381798,363.2765005467324,0
72,37.10129130639314,9.7669256381798,362.3655532699885,0
73,35.437099863140546,9.988901220865705,353.97769008686447,0
74,35.455001482740144,9.766925638179801,346.2863629834776,0
75,35.50815230461298,10.21087680355161,362.5693687041503,0
76,34.21524327802714,10.432852386237515,356.96258247886254,0
77,34.079651272846334,10.432852386237515,355.54797110405724,0
78,34.02234324923011,10.432852386237515,354.9500849531222,0
79,33.90997053632589,10.432852386237514,353.77771702715137,0
80,33.65369520879699,10.432852386237514,351.10403436480766,1
81,33.50565177539082,10.210876803551608,342.12208250121586,1
82,33.51164178534624,10.876803551609326,364.4995443911135,1
83,33.489731956051635,11.09877913429523,371.69513824696605,1
84,33.45161438302879,11.09877913429523,371.27207972285015,1
85,33.392621670513755,11.09877913429523,370.6173326361128,1
86,33.1734004902571,11.320754716981137,375.5479300783824,1
87,32.97576030371004,11.542730299667042,380.63030761219153,1
88,32.928405383607604,11.764705882352947,387.39300451303086,1
89,32.69218955493127,11.542730299667044,377.3571269381636,1
90,32.548686624362034,11.764705882352947,382.92572499249474,1
91,31.69625218590796,11.542730299667044,365.86129049216754,1
92,31.508381554824563,11.76470588235295,370.6868418214657,1
93,31.012333145976978,11.76470588235295,364.8509781879647,1
94,30.739570350870462,11.764705882352947,361.64200412788796,1
95,30.185087077468822,11.764705882352947,355.11867149963336,1
96,29.836094635485328,11.986681465038851,357.63576255631705,1
